Tem,Hum,Pres,S_PM2.5,P_PM2.5,S_PM10,P_PM10
14.9,68,1008.0,Normal,20,Good,27
14.9,76,1007.6,Good,8,Good,21
15.2,76,1006.8,Good,11,Good,20
15.3,79,1006.1,Good,10,Good,17
15.6,76,1005.6,Good,9,Good,24
15.8,73,1005.2,Good,12,Good,21
16.1,73,1004.9,Good,10,Good,19
17.1,72,1004.5,Good,10,Good,26
18.5,72,1004.1,Good,7,Good,29
19.5,71,1003.5,Good,11,Good,26
20.8,69,1002.9,Good,8,Normal,42
20.6,68,1002.6,Good,6,Normal,44
19.7,72,1002.4,Good,9,Normal,38
17.5,84,1002.3,Good,11,Good,29
16.8,91,1001.7,Good,8,Good,20
16.0,95,1000.9,Good,6,Good,16
15.7,97,1000.4,Good,5,Good,5
15.2,97,1000.1,Good,2,Good,3
14.6,97,1000.3,Good,5,Good,6
14.0,97,1000.8,Good,6,Good,6
12.8,94,1002.0,Good,4,Good,6
12.8,96,1002.4,Good,6,Good,17
12.6,95,1002.3,Good,10,Good,27
12.2,95,1002.3,Good,14,Good,25
12.5,96,1002.4,Good,14,Normal,36
12.2,96,1002.2,Good,11,Normal,46
12.1,97,1002.0,Normal,19,Normal,53
11.7,96,1002.0,Normal,21,Normal,69
11.3,93,1002.3,Normal,19,Normal,66
11.0,93,1002.7,Good,13,Normal,57
11.6,94,1002.6,Good,14,Bad,83
12.5,93,1003.1,Normal,29,Bad,123
13.3,89,1003.1,Normal,33,Bad,141
14.7,88,1003.3,Normal,29,Bad,145
15.6,84,1003.4,Normal,28,Worst,153
17.1,69,1003.1,Normal,26,Worst,157
18.4,57,1002.5,Normal,28,Bad,147
19.6,53,1002.3,Normal,21,Bad,109
18.8,50,1002.0,Normal,20,Bad,115
19.2,51,1001.8,Good,12,Bad,107
19.4,53,1001.8,Good,12,Normal,62
19.2,53,1001.9,Good,9,Normal,32
18.7,51,1002.3,Good,10,Normal,34
17.2,60,1003.0,Good,9,Normal,34
16.7,57,1003.7,Good,9,Normal,36
16.1,63,1004.5,Good,9,Normal,34
15.2,67,1004.7,Good,9,Good,27
14.6,68,1004.9,Good,10,Good,28
14.3,67,1004.9,Good,13,Good,27
13.9,70,1005.0,Good,13,Good,26
13.5,73,1005.0,Good,8,Good,24
13.3,79,1005.0,Good,13,Good,25
13.2,77,1005.2,Good,13,Good,25
13.1,83,1005.7,Good,13,Good,20
13.7,85,1006.5,Good,14,Normal,32
15.1,75,1007.0,Good,15,Good,29
17.1,66,1007.2,Normal,17,Normal,35
18.2,59,1007.3,Good,11,Normal,31
