Tem,Hum,Pres,S_PM2.5,P_PM2.5,S_PM10,P_PM10
14.9,68,1008.0,1,20,0,27
14.9,76,1007.6,0,8,0,21
15.2,76,1006.8,0,11,0,20
15.3,79,1006.1,0,10,0,17
15.6,76,1005.6,0,9,0,24
15.8,73,1005.2,0,12,0,21
16.1,73,1004.9,0,10,0,19
17.1,72,1004.5,0,10,0,26
18.5,72,1004.1,0,7,0,29
19.5,71,1003.5,0,11,0,26
20.8,69,1002.9,0,8,1,42
20.6,68,1002.6,0,6,1,44
19.7,72,1002.4,0,9,1,38
17.5,84,1002.3,0,11,0,29
16.8,91,1001.7,0,8,0,20
16.0,95,1000.9,0,6,0,16
15.7,97,1000.4,0,5,0,5
15.2,97,1000.1,0,2,0,3
14.6,97,1000.3,0,5,0,6
14.0,97,1000.8,0,6,0,6
12.8,94,1002.0,0,4,0,6
12.8,96,1002.4,0,6,0,17
12.6,95,1002.3,0,10,0,27
12.2,95,1002.3,0,14,0,25
12.5,96,1002.4,0,14,1,36
12.2,96,1002.2,0,11,1,46
12.1,97,1002.0,1,19,1,53
11.7,96,1002.0,1,21,1,69
11.3,93,1002.3,1,19,1,66
11.0,93,1002.7,0,13,1,57
11.6,94,1002.6,0,14,2,83
12.5,93,1003.1,1,29,2,123
13.3,89,1003.1,1,33,2,141
14.7,88,1003.3,1,29,2,145
15.6,84,1003.4,1,28,3,153
17.1,69,1003.1,1,26,3,157
18.4,57,1002.5,1,28,2,147
19.6,53,1002.3,1,21,2,109
18.8,50,1002.0,1,20,2,115
19.2,51,1001.8,0,12,2,107
19.4,53,1001.8,0,12,1,62
19.2,53,1001.9,0,9,1,32
18.7,51,1002.3,0,10,1,34
17.2,60,1003.0,0,9,1,34
16.7,57,1003.7,0,9,1,36
16.1,63,1004.5,0,9,1,34
15.2,67,1004.7,0,9,0,27
14.6,68,1004.9,0,10,0,28
14.3,67,1004.9,0,13,0,27
13.9,70,1005.0,0,13,0,26
13.5,73,1005.0,0,8,0,24
13.3,79,1005.0,0,13,0,25
13.2,77,1005.2,0,13,0,25
13.1,83,1005.7,0,13,0,20
13.7,85,1006.5,0,14,1,32
15.1,75,1007.0,0,15,0,29
17.1,66,1007.2,1,17,1,35
18.2,59,1007.3,0,11,1,31
19.1,56,1007.4,0,10,1,35
20.0,58,1007.2,0,9,1,39
20.1,54,1006.8,0,15,1,37
20.9,49,1006.4,0,15,1,41
20.7,50,1006.0,0,13,1,33
21.2,50,1005.7,0,11,0,30
20.4,44,1005.7,0,11,0,29
19.3,50,1005.7,0,11,0,23
17.8,54,1005.7,0,10,0,23
16.6,61,1005.9,0,13,1,31
16.1,62,1006.6,0,13,0,23
15.9,62,1007.1,0,11,0,25
